Identifiant séquentiel unique *,Géométrie *,Nom de la station d'épuration,Numéro de la station d'épuration,Numéro du système de traitement *,Numéro de lieu SAGO,Municipalité(s) desservie(s),Classification,Type de traitement (description),Taille de la station d'épuration,Catégorie de suivi,Date de mise en service,Population de conception,Débit - Calcul de taille (m³/d),Débit de conception (m³/d),DBO5C de conception (kg/d),Latitude de l'émissaire,Longitude de l'émissaire,Lac/Cours d'eau (milieu récepteur),Nom du bassin primaire,Équipements de traitements,Date d'effectivité de l'AA,Nombre d’ouvrages de surverse
457,Point,Station d'épuration de Mont-Saint-Pierre,04015-1,572,X2053881,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite à parois verticales,Très petite,2,2006-03-01,275,"164,6",224,44,"49,221,667","-65,801,111","Mont-Saint-Pierre, Rivière de","Mont-Saint-Pierre, Rivière de",ERR (4 cell.),<Nul>,3
458,Point,Station d'épuration de Saint-Siméon (Bonaventure),04310-1,447,X2048838,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1995-09-01,1135,"904,4",844,63,"48,077,222","-65,555,556","Saint-Siméon, Rivière","Saint-Siméon, Rivière",EA (3 cell.); PD,<Nul>,4
459,Point,Station d'épuration de Chandler,02035-1,113,X2049594,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1997-01-01,7258,"8757,9",9331,487,"48,344,722","-64,706,389","Grand Pabos, Rivière du","Grand Pabos, Rivière du",EA (4 cell.),<Nul>,21
460,Point,Station d'épuration de Sainte-Félicité (Matane),06440-1,88,X2048274,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1994-12-01,780,1076,1148,38,"489,025","-67,349,722","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (2 cell.),<Nul>,3
461,Point,Station d'épuration de Saint-Charles-Garnier,09010-1,290,X2018361,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2004-11-01,161,"20,4",60,"8,2","48,336,667","-68,040,833",<Nul>,"Mitis, Rivière",EA (4 cell.),<Nul>,1
462,Point,Station d'épuration de Saint-Narcisse-de-Rimouski,07350-1,391,X2048237,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1994-12-01,460,"294,7",255,"25,4","48,281,111","-684,475","Chat, Rivière du","Rimouski, Rivière",EA (2 cell.); PD,<Nul>,1
463,Point,Station d'épuration de Saint-Louis-du-Ha! Ha!,13080-1,419,X2067421,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2004-11-01,1131,"990,2",1491,70,"47,656,944","-68,983,611","Savane, Petite rivière de la ","Saguenay, Rivière",EA (3 cell.); PD,<Nul>,1
464,Point,Station d'épuration de La Trinité-des-Monts,10010-1,737,X2073709,<Nul>,Autres,Marais artificiel (roseaux),Très petite,2,2006-03-01,151,"376,3",285,9,"48,126,789","-68,480,177","Cenellier, Rivière du","Rimouski, Rivière",DÉC PRIM; ROS,<Nul>,0
465,Point,Station d'épuration de Baie-des-Sables,08080-1,119,X2068228,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2006-08-01,350,"66,8","149,6","24,4","4,872,558","-678,857",<Nul>,Trib.48D.43M.36S.-67D.53M.19S.,EA (4 cell.),<Nul>,2
466,Point,Station d'épuration de Saint-Moïse,07095-1,820,X0102768,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1975-01-01,386,"194,6",200,"19,3","48,558,889","-67,851,389","Tartigou, Rivière","Tartigou, Rivière",EA (1 cell.),<Nul>,0
467,Point,Station d'épuration de Grosses-Roches,08015-1,189,X2154094,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2013-11-01,431,714,637,"26,5","48,942,771","-67,171,391","Grosses Roches, Ruisseau des","Grosses Roches, Ruisseau des",EA (3 cell.); PD; UV,<Nul>,2
468,Point,Station d'épuration de Saint-Paul-de-la-Croix,12035-1,426,X2067606,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2006-07-01,242,"36,4","68,9","12,1","47,956,198","-69,197,542","Paul-Martin, Cours d'eau","Trois Pistoles, Rivière des",EA (4 cell.),<Nul>,1
469,Point,Station d'épuration de Saint-Vianney,07075-1,456,X2048372,<Nul>,Étangs non aérés,Étangs non aérés et filtre,Très petite,2,1991-09-01,332,"316,9",419,18,"48,617,479","-67,426,641","Inconnue, Rivière","Ristigouche, Rivière",ENA (2 cell.); PD,<Nul>,1
470,Point,Station d'épuration de Saint-Anaclet-de-Lessard,07550-1,35,X2048145,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1986-08-01,1509,"1150,9",978,100,"48,485,278","-68,460,833","Germain-Roy, Rivière","Germain-Roy, Rivière",EA (3 cell.); PD,<Nul>,2
