Identifiant séquentiel unique *,Géométrie *,Nom de la station d'épuration,Numéro de la station d'épuration,Numéro du système de traitement *,Numéro de lieu SAGO,Municipalité(s) desservie(s),Classification,Type de traitement (description),Taille de la station d'épuration,Catégorie de suivi,Date de mise en service,Population de conception,Débit - Calcul de taille (m³/d),Débit de conception (m³/d),DBO5C de conception (kg/d),Latitude de l'émissaire,Longitude de l'émissaire,Lac/Cours d'eau (milieu récepteur),Nom du bassin primaire,Équipements de traitements,Date d'effectivité de l'AA,Nombre d’ouvrages de surverse
95,Point,Station d'épuration de Sainte-Eulalie,33470-1,90,X2049527,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Moyenne,4,1986-08-01,450,"446,1",265,26,"46,128,056","-72,255,556","Calixte-Tourigny, Ruisseau","Bécancour, Rivière",ENA (3 cell.),<Nul>,1
96,Point,Station d'épuration de Saint-Sylvère,38005-1,464,X2049524,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,1999-05-01,203,"94,1","87,8","10,8","46,231,111","-72,220,278","Chicot Noir, Ruisseau du","Bécancour, Rivière",EA (2 cell.),<Nul>,2
97,Point,Station d'épuration de Saint-Guillaume,42300-1,405,X2049515,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,1991-09-01,926,"575,4",595,306,"45,889,722","-72,775,833","Félix-Julien, Ruisseau","Yamaska, Rivière",EA (3 cell.); PD,<Nul>,2
98,Point,Station d'épuration de Lyster,27510-1,44,X2049486,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1991-08-01,1450,"586,2",680,85,"46,369,444","-71,623,333","Bécancour, Rivière","Bécancour, Rivière",EA (2 cell.); PD,<Nul>,3
99,Point,Station d'épuration de Lemieux,38020-2,49,X2049483,<Nul>,Autres,Marais artificiel (roseaux),Très petite,1,2000-05-01,102,"16,6","43,7","5,6","46,297,778","-72,107,222","Lainesse, Ruisseau","Gentilly, Rivière",FS(F); ROS,<Nul>,1
100,Point,Station d'épuration de Saint-Cyrille-de-Wendover (Hébert),49070-1,104,X2049509,<Nul>,Autres,Filtres intermittents à recirculation,Très petite,1,1998-10-01,262,"75,8",86,13,"45,915,556","-72,441,667","Loutre, Ruisseau la","Nicolet, Rivière",FG; FIR; FS(F),<Nul>,1
101,Point,Station d'épuration de Fortierville,38045-1,26,X2049461,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,1999-10-01,376,"271,2",216,"21,7","46,495,556","-72,046,667","Ormes, Rivière aux","Chêne, Petite rivière du",EA (3 cell.); PD,<Nul>,2
102,Point,Station d'épuration de Saint-Albert,34680-1,86,X2049501,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1994-02-01,400,"146,1",162,24,"45,996,667","-72,089,444","Nicolet, Rivière","Nicolet, Rivière",EA (2 cell.); PD,<Nul>,2
103,Point,Station d'épuration de Drummondville,41720-1,720,X2049455,<Nul>,Étangs aérés,Étangs aérés,Très grande,7,1997-11-01,53778,"51280,1",66202,8703,"45,926,667","-72,488,611","Saint-François, Rivière","Saint-François, Rivière",DÉG GR; DESS AÉRÉ; EA (4 cell.); PD,<Nul>,76
104,Point,Station d'épuration de Plessisville,27750-1,293,X2049493,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1988-08-01,8000,"7743,7",9910,1502,"46,257,778","-71,789,722","Bourbon, Rivière","Bécancour, Rivière",DÉG GR; DESS; EA (3 cell.); PD,<Nul>,7
105,Point,Station d'épuration de La Tuque,32660-1,56,X2048540,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1989-05-01,12816,"8993,9",9627,857,"47,400,559","-72,800,723","Saint-Maurice, Rivière","Saint-Maurice, Rivière",DÉG GR; EA (4 cell.),<Nul>,14
106,Point,Station d'épuration de Charette,36005-1,219,X2007930,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite à parois verticales,Très petite,2,2002-12-01,421,266,206,27,"46,447,783","-72,919,042","Yamachiche, Rivière","Yamachiche, Rivière",ERR (3 cell.),<Nul>,2
107,Point,Station d'épuration de Trois-Rivières Métropolitain,32260-1,683,90026840,<Nul>,Étangs aérés,Étangs aérés,Très grande,7,1994-05-01,101615,"71193,6",97037,8343,"46,395,278","-72,447,778","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG GR; DESS; EA (4 cell.),<Nul>,57
108,Point,Station d'épuration de Trois-Rivières (Red Mill),37067-2,558,X2049827,<Nul>,Fosse septique,Fosse septique,Très petite,1,2001-12-01,24,23,"9,1","1,2","46,396,667","-72,449,444","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",FG; FS; FS(F),<Nul>,1
109,Point,Station d'épuration de Saint-Maurice,32330-1,388,X2048558,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1983-08-01,1000,"531,1",530,130,"464,629","-72,528,821","Brûlée, Rivière","Champlain, Rivière",EA (2 cell.),<Nul>,1
110,Point,Station d'épuration de Shawinigan,36030-1,467,X2048651,<Nul>,Étangs aérés,Étangs aérés,Grande,6,1999-12-01,24925,"19183,8",19480,1755,"46,553,889","-72,756,111","Shawinigan, Rivière","Saint-Maurice, Rivière",DÉG GR; DESS; EA (3 cell.),<Nul>,35
111,Point,Station d'épuration de Sainte-Anne-de-la-Pérade,37205-1,601,X2109566,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2006-01-01,1516,"1829,2",1486,107,"46,565,278","-72,189,444","Saint-Ignace, Chenal","Saint-Ignace, Chenal",EA (4 cell.); UV,<Nul>,3
112,Point,Station d'épuration de Shawinigan-Sud,32360-1,695,X2048656,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1995-06-01,12913,"7347,8",9975,893,"46,506,944","-72,772,778","Saint-Maurice, Rivière","Saint-Maurice, Rivière",DÉG GR; DESS; EA (4 cell.),<Nul>,13
113,Point,Station d'épuration de Saint-Justin,51045-1,532,X2048550,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1994-06-01,331,"176,4",214,21,"46,249,167","-73,082,778","Ormière, Rivière l'","Maskinongé, Rivière",EA (4 cell.); PD,<Nul>,3
114,Point,Station d'épuration de Saint-Séverin (Mauricie),35020-1,458,X2003338,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2002-12-01,625,348,396,100,"46,672,222","-72,504,444","Envies, Rivière des","Batiscan, Rivière",EA (4 cell.),<Nul>,2
115,Point,Station d'épuration de Sainte-Thècle,35050-1,423,X2048562,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1998-12-01,2290,"1273,3",1644,"114,5","46,820,556","-72,520,833","Coeur, Rivière en","Batiscan, Rivière",EA (2 cell.),<Nul>,2
116,Point,Station d'épuration de Saint-Narcisse (Mauricie),37040-1,397,X2048559,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2001-11-01,1224,"1727,2",863,"88,6","46,568,056","-724,675","Chutes, Rivière des","Batiscan, Rivière",EA (4 cell.),<Nul>,3
117,Point,Station d'épuration de Saint-Étienne-des-Grès,43400-1,336,X2048549,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1990-06-01,1503,"466,3",556,81,"464,375","-72,762,222","Millette, Ruisseau","Saint-Maurice, Rivière",EA (2 cell.),<Nul>,2
118,Point,Station d'épuration de Saint-Luc-de-Vincennes,37225-1,421,X2129980,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2013-08-01,284,"163,2","163,2","16,8","46,491,376","-72,412,524","Champlain, Rivière","Champlain, Rivière",EA (3 cell.),<Nul>,1
119,Point,Station d'épuration de Maskinongé,51005-1,252,X2048545,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1999-02-01,1110,"523,1",650,56,"46,223,333","-73,03","Ormière, Rivière l'","Maskinongé, Rivière",EA (2 cell.); PD,<Nul>,2
120,Point,Station d'épuration de Saint-Barnabé,51025-1,782,X2118732,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2012-06-01,440,258,258,41,"46,394,287","-72,881,354",<Nul>,"Yamachiche, Petite rivière",EA (4 cell.); PD,<Nul>,1
121,Point,Station d'épuration de Sainte-Ursule,47260-1,342,X2048563,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1993-04-01,559,"274,6",246,32,"462,825","-73,018,333","Loup, Petite rivière du","Loup, Rivière du",EA (2 cell.); PD,<Nul>,2
122,Point,Station d'épuration de Saint-Édouard-de-Maskinongé,51050-1,527,X0401572,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite à parois verticales,Très petite,1,2001-02-01,434,92,171,"22,4","46,32","-73,153,056","Maskinongé, Rivière","Maskinongé, Rivière",ERR (3 cell.),<Nul>,2
123,Point,Station d'épuration de Grandes-Piles,35040-1,203,X2009372,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite à parois verticales,Très petite,1,2003-10-01,300,"96,9","129,1","30,9","46,683,889","-72,716,667","Saint-Maurice, Rivière","Saint-Maurice, Rivière",ERR (2 cell.),<Nul>,1
124,Point,Station d'épuration de Saint-Mathieu-du-Parc,51070-1,539,X2122939,<Nul>,Autres,Bionest,Très petite,1,2014-09-01,130,"48,6","48,6","6,5","46,598,333","-72,84","Shawinigan, Rivière","Saint-Maurice, Rivière",BION; FS; UV,<Nul>,1
125,Point,Station d'épuration de Lac-aux-Sables,35010-2,199,X2117561,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Petite,3,2012-06-01,1204,707,707,"107,7","46,853,333","-72,409,722","Batiscan, Rivière","Batiscan, Rivière",EA (4 cell.),<Nul>,1
126,Point,Station d'épuration de Champlain,37220-1,115,X2108287,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite,Très petite,2,2004-11-01,500,"227,4",396,"95,6","46,446,933","-72,331,336",<Nul>,Trib.46D.26M.32S.-72D.19M.39S.,ERR (3 cell.); UV,<Nul>,2
127,Point,Station d'épuration de Trois-Rivières (Saint-Louis),32310-1,525,X2049826,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1983-08-01,4000,"3697,6",2370,418,"46,414,297","-72,545,433","Champlain, Rivière","Champlain, Rivière",EA (3 cell.),<Nul>,2
128,Point,Station d'épuration de Hérouxville,32510-1,187,X2048539,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1991-09-01,837,1035,584,42,"46,671,944","-72,628,056","Noire, Rivière","Saint-Maurice, Rivière",EA (4 cell.); PD,<Nul>,3
129,Point,Station d'épuration de Shawinigan (Saint-Gérard),43560-1,466,X2048654,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1994-11-01,381,221,217,22,"46,600,495","-72,801,491","Shawinigan, Rivière","Saint-Maurice, Rivière",EA (2 cell.),<Nul>,2
130,Point,Station d'épuration de Shawinigan (Grand-Mère),32550-1,691,X2048652,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1986-08-01,18282,"12273,4",14434,1314,"46,598,889","-72,668,333","Saint-Maurice, Rivière","Saint-Maurice, Rivière",DÉG GR; DESS; EA (4 cell.),<Nul>,16
131,Point,Station d'épuration de Saint-Stanislas (Mauricie),37015-1,530,X2049801,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite à parois verticales,Très petite,2,1998-01-01,775,"205,8",322,"38,8","46,600,833","-72,386,111","Batiscan, Rivière","Batiscan, Rivière",ERR (3 cell.),<Nul>,3
132,Point,Station d'épuration de Saint-Paulin,51060-2,623,X2048560,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2010-09-01,1767,"636,9",783,97,"46,429,167","-72,99","Saint-Louis, Rivière","Loup, Rivière du",EA (5 cell.); PD,<Nul>,4
133,Point,Station d'épuration de Saint-Alexis-des-Monts,51065-1,192,X2048547,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite,Petite,3,2002-06-01,2366,"1326,7",1385,127,"46,453,333","-73,139,444","Loup, Rivière du","Loup, Rivière du",ERR (3 cell.),<Nul>,3
134,Point,Station d'épuration de Sainte-Geneviève-de-Batiscan,37215-1,608,X2151992,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2012-06-01,572,232,232,"32,2","46,528,056","-72,339,722","Batiscan, Rivière","Batiscan, Rivière",EA (4 cell.),<Nul>,3
135,Point,Station d'épuration de Saint-Adelphe,35015-1,84,X2048546,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,1997-02-01,602,"323,5",202,35,"46,728,447","-72,433,255","Batiscan, Rivière","Batiscan, Rivière",EA (3 cell.),<Nul>,1
136,Point,Station d'épuration de Yamachiche,51020-1,617,X2048565,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2014-01-01,1695,"560,7","560,7","115,4","46,273,889","-72,838,889","Yamachiche, Petite rivière","Yamachiche, Petite rivière",EA (5 cell.); PD,<Nul>,4
137,Point,Station d'épuration de Sainte-Ursule (Petit Poste) ,51040-1,346,X2154152,<Nul>,Autres,Marais artificiel de type Écophyltre-P,Très petite,1,1993-04-01,105,"35,1","35,1","5,3","4,632,775","-73,068,481","Bélanger, Ruisseau des","Loup, Rivière du",FS(F); ROS; PD,<Nul>,1
138,Point,Station d'épuration de Saint-Tite,35025-1,557,X2049803,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1998-08-01,3326,"4037,6",3206,216,"46,715,556","-72,575,278","Envies, Rivière des","Batiscan, Rivière",EA (2 cell.),<Nul>,7
139,Point,Station d'épuration de Sainte-Angèle-de-Prémont,51055-1,312,X2114756,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2011-09-01,278,"149,3","149,3","19,3","46,361,111","-73,052,778","Beauregard, embranchement","Loup, Rivière du",EA (4 cell.),<Nul>,1
140,Point,Station d'épuration de Saint-Prosper-de-Champlain,37250-1,560,X2152087,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2014-07-01,420,167,167,"24,2","46,614,167","-72,286,389","Charest, Rivière","Sainte-Anne, Rivière",EA (4 cell.); PD,<Nul>,1
141,Point,Station d'épuration de Champlain (rue Jacob),37220-2,118,X2140483,<Nul>,Autres,Bionest,Très petite,1,2014-07-01,93,"26,3","26,3","4,7","46,410,556","-724,125","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",BION; FS; UV,<Nul>,1
142,Point,Station d'épuration de Trois-Rivières (Valley Inn),37067-1,740,X2049828,<Nul>,Autres,Filtre à tourbe,Très petite,1,2001-12-01,30,"24,2","9,6","1,5","46,393,889","-72,459,167","Cormier, Ruisseau","Cormier, Ruisseau",FT; FG; FS,<Nul>,0
143,Point,Station d'épuration de Trois-Rivières (Ste-Marthe),37050-1,501,X2049824,<Nul>,Autres,Filtres intermittents à recirculation,Très petite,1,1995-01-01,100,"32,3","49,5",5,"46,409,444","-72,432,778","Turcotte, Ruisseau","Toupin-Montplaisir, Ruisseau",FG; FIR; FS(F); UV,<Nul>,1
144,Point,Station d'épuration de Shawinigan (Saint-Jean-des-Piles),36033-1,465,X2048655,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2011-09-01,479,180,180,30,"46,682,186","-72,730,267","Saint-Maurice, Rivière","Saint-Maurice, Rivière",EA (3 cell.),<Nul>,3
145,Point,Station d'épuration de Saint-Roch-de-Mékinac,35045-1,860,90534835,<Nul>,Autres,Filtres intermittents à recirculation,Très petite,1,2012-05-01,332,83,83,"16,6","46,788","-72,784","Saint-Maurice, Rivière","Saint-Maurice, Rivière",FIR; FS,<Nul>,0
146,Point,Station d'épuration de Lac-Édouard,90012-1,789,90560632,<Nul>,Autres,Filtres intermittents à recirculation avec textiles,Très petite,1,1999-01-01,214,"32,9",73,"12,2","47,658,056","-72,274,444","Édouard, Lac","Batiscan, Rivière",FG; FIR; FS,<Nul>,0
147,Point,Station d'épuration de Louiseville,51015-1,237,X2048542,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1996-10-01,7772,"4737,6",8065,805,"46,243,333","-72,923,611","Loup, Rivière du","Loup, Rivière du",DÉG GR; EA (4 cell.); PD,<Nul>,12
148,Point,Station d'épuration de Saint-Léon-le-Grand (Maskinongé),51035-1,386,90011867,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite à parois verticales,Très petite,1,2005-11-01,248,"98,4","109,8","13,1","46,311,944","-72,934,444",<Nul>,"Loup, Rivière du",ERR (4 cell.),<Nul>,2
149,Point,Station d'épuration de L'Assomption,62420-1,724,X2005846,<Nul>,Étangs aérés,Étangs aérés avec bassin complètement mélangé,Moyenne,5,1989-03-01,20200,12665,10600,1110,"45,835,516","-73,425,515","L'Assomption, Rivière","L'Assomption, Rivière",DÉG GR; DESS; EA (4 cell.); PD,<Nul>,27
150,Point,Station d'épuration de Saint-Donat (Les Cimes),62060-2,797,90043894,<Nul>,Autres,Filtres intermittents à recirculation avec infiltration,Très petite,1,2004-11-01,180,50,50,"10,8","46,333,587","-74,212,273","Blanc, Lac","L'Assomption, Rivière",FG; FIR; FS,<Nul>,0
151,Point,Station d'épuration de Sainte-Julienne,61400-1,172,11485786,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1985-11-01,1050,"750,9",672,58,"45,958,333","-73,712,778","Saint-Esprit, Rivière","L'Assomption, Rivière",DÉG GR; DESS; EA (3 cell.); PD,<Nul>,3
152,Point,Station d'épuration de Joliette,61025-1,669,90567686,Joliette; Notre-Dame-de-Lourdes; Notre-Dame-des-Prairies; Saint-Charles-Borromée; Saint-Paul,Étangs aérés,Étangs aérés,Grande,6,2000-08-01,39330,"32025,6",38406,3211,"45,981,096","-7,338,693","L'Assomption, Rivière","L'Assomption, Rivière",DÉG GR; DESS; EA (4 cell.); PD,<Nul>,5
153,Point,Station d'épuration de Saint-Jean-de-Matha,58510-1,375,13426762,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1986-10-01,1292,"957,9",677,71,"46,222,222","-73,528,611","Baie, Ruisseau de la","L'Assomption, Rivière",DÉG GR; DESS; EA (2 cell.); PD,<Nul>,1
154,Point,Station d'épuration de Berthierville,49220-1,633,X2048984,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1995-09-01,5020,"7745,5",7500,1571,"46,087,222","-73,167,222","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (3 cell.); PD,<Nul>,16
155,Point,Station d'épuration de Lanoraie,52015-1,212,X2022652,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2004-08-01,2160,"1455,3",1590,116,"45,954,444","-73,221,111","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (2 cell.); PD,<Nul>,2
156,Point,Station d'épuration de Crabtree,58150-1,266,X2048986,<Nul>,Boues activées,Boues activées,Grande,6,1991-02-01,2270,"21914,7",22716,9300,"45,964,722","-73,463,056","Ouareau, Rivière","L'Assomption, Rivière",BA; DÉC PRIM; DÉC SEC; DÉG GR; DESS; PD; UV,<Nul>,8
157,Point,Station d'épuration de Saint-Donat (Lanaudière),62060-1,305,X2049009,<Nul>,Étangs non aérés,Étangs non aérés et filtre,Moyenne,5,1988-02-01,1679,"3953,4",2423,110,"46,323,611","-74,210,278","Blanc, Lac","L'Assomption, Rivière",DÉG GR; ENA (2 cell.); FG; PD,<Nul>,0
158,Point,Station d'épuration de Saint-Michel-des-Saints,49600-1,392,X2049226,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1990-12-01,2190,"779,1",1037,110,"46,681,944","-739,125","Matawin, Rivière","Saint-Maurice, Rivière",EA (2 cell.); PD,<Nul>,3
159,Point,Station d'épuration de Saint-Esprit,61200-1,345,X2001028,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,1987-02-01,1280,"1650,6",1543,94,"45,898,056","-73,660,278","Saint-Esprit, Rivière","L'Assomption, Rivière",DÉG GR; DESS AÉRÉ; EA (2 cell.); PD,<Nul>,3
160,Point,Station d'épuration de Sainte-Marie-Salomé,63005-1,180,13424569,<Nul>,Étangs aérés,Étangs aérés,Très petite,1,1998-01-01,185,"77,7",54,11,"45,93","-73,493,889","Vacher, Ruisseau","L'Assomption, Rivière",EA (2 cell.),<Nul>,1
161,Point,Station d'épuration de Repentigny (Le Gardeur),60010-1,667,13425533,Charlemagne; L'Assomption,Étangs aérés,Étangs aérés,Moyenne,5,1996-09-01,16517,"11527,9",11289,1396,"45,734,444","-73,482,222","L'Assomption, Rivière","L'Assomption, Rivière",DÉG GR; EA (4 cell.); PD,<Nul>,11
162,Point,Station d'épuration de Saint-Roch-de-l'Achigan (Commercial),62480-2,873,X2168019,<Nul>,Autres,Réacteur biologique membranaire Ecoprocess,Très petite,2,2015-09-01,1006,342,342,"96,9","4,582,606","-73,599,224","Achigan, Rivière de l'","L'Assomption, Rivière",BE; DÉG FIN; FM; PD; RBM,<Nul>,0
163,Point,Station d'épuration de Saint-Alphonse-Rodriguez,62025-1,891,X2153418,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2016-10-01,597,"262,9","262,9","43,8","46,209,567","-73,699,427","L'Assomption, Rivière","L'Assomption, Rivière",EA (3 cell.); PD,<Nul>,0
164,Point,Station d'épuration de Saint-Damien,62075-1,731,X2115897,<Nul>,Disques biologiques,Disques biologiques Rotofix,Très petite,1,2010-09-01,350,"68,9",130,21,"46,329,722","-73,475,833","Matambin, Rivière","Maskinongé, Rivière",DÉC SEC; BD; FS; PD; UV,<Nul>,0
165,Point,Station d'épuration de Saint-Félix-de-Valois,58480-1,357,X2049221,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Petite,3,1999-01-01,1570,"1842,8",1864,195,"46,167,889","-73,406,988","Rivière Bayonne, Branche de la","Bayonne, Rivière",EA (3 cell.); PD,<Nul>,2
166,Point,Station d'épuration de Saint-Cuthbert,52062-1,730,X2129912,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2012-09-01,488,192,192,"24,4","46,146,698","-73,209,983","Chicot, Rivière","Chicot, Rivière",EA (4 cell.); PD,<Nul>,0
167,Point,Station d'épuration de Saint-Ambroise-de-Kildare,58310-1,325,X2049219,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1995-02-01,679,"389,3",236,38,"46,074,722","-73,544,722",<Nul>,"L'Assomption, Rivière",EA (2 cell.); PD,<Nul>,3
168,Point,Station d'épuration de Sainte-Mélanie,58370-1,791,X2049034,<Nul>,Autres,Oxydation rapide avec polissage,Très petite,2,1985-10-01,900,"213,9",270,45,"46,127,428","-73,512,474","Martial-Perreault, Cours d'eau","L'Assomption, Rivière",DÉC SEC; DÉC SEC; DÉG GR; ORP,<Nul>,0
